title,question,answer,type
Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general
Adele,What was the title of Adele's debut album?,19,general
Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general
Adele,What is the title of Adele's first song?,Hometown Glory,general
Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general
Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain
Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain
Adrienne Monnier,What was the name of the award that T.S. Eliot received in 1948?,Nobel Prize in Literature,domain
Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain
Adrienne Monnier,What was the name of Djuna Barnes's verse play?,The Antiphon,domain
Adrienne Monnier,When was Gertrude Stein born?,"February 3, 1874",domain
Adrienne Monnier,Where was Djuna Barnes born?,"A log cabin on Storm King Mountain, near Cornwall-on-Hudson, New York",domain
Adrienne Monnier,Who was the composer that set six of T.S. Eliot's poems to music in a work titled 'Practical Cats'?,Alan Rawsthorne,domain
Adrienne Monnier,What was the name of Djuna Barnes's last book?,Creatures in an Alphabet,domain
Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain
Adrienne Monnier,What was the name of the bookstore that was named after Djuna Barnes?,Djuna Books,domain
Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain
Adrienne Monnier,Where did Jane Heap complete her high school education?,"Topeka, Kansas",domain
Adrienne Monnier,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981?,Cats,domain
Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain
Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain
Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain
Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain
Adrienne Monnier,Who was Djuna Barnes's partner in Paris?,Thelma Wood,domain
Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain
Adrienne Monnier,What was Sylvia Beach's original name?,Nancy Woodbridge Beach,entity
Adrienne Monnier,What movement is William Carlos Williams closely associated with?,Modernism and imagism,entity
Adrienne Monnier,Who was responsible for the development of Eastbourne as a tourist resort?,"William Cavendish, later to become the Duke of Devonshire.",entity
Adrienne Monnier,Who was the editor of Le Navire d'Argent?,Jean Prévost,entity
Adrienne Monnier,When was William Carlos Williams born?,"September 17, 1883",entity
Adrienne Monnier,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers,entity
Adrienne Monnier,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector.",entity
Adrienne Monnier,What is Sylvia Beach known for?,"Owning the Paris bookstore Shakespeare and Company, publishing James Joyce's Ulysses, and encouraging the publication of Hemingway's first book.",entity
Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum.",entity
Adrienne Monnier,How many poems did E. E. Cummings write approximately?,"2,900",entity
Adrienne Monnier,What was the population of Eastbourne according to the 2021 census?,"101,700.",entity
Adrienne Monnier,What was unique about E. E. Cummings' use of language in his poetry?,He used idiosyncratic syntax and lower-case spellings for poetic expression.,entity
Adrienne Monnier,What were William Carlos Williams' main professions?,"Poet, writer, and physician",entity
Adrienne Monnier,What roles did Jean Prévost undertake during his lifetime?,"French writer, journalist, and Resistance fighter.",entity
Adrienne Monnier,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States",entity
