,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,A  1
1,Adele,What was the title of Adele's debut album?,19,general,   1  1  1  1  1  1  1                            
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,The  2012  film  1  1  1
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,   1  2  1  2
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,  1  1  1  1   1   1   1   1   1   1   1   1   1  
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,     1                                            
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,  1.  1
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,A clergy  1  1  1  1  1  1  1  1  1  1  1   1   1   1   
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,The 17th  2nd  and 4th  5th  6th  8th  9  10  11  12  13  14  15  16 
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The   S                                             
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,  1  2  3   4                                     
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,  1  2  3   4                                     
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,   1  2  3                                        
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,The  2  1   2    1                                  
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,  3  3
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,  1. The  2.
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,G    1  1   1   1   1   1   1   1   1   1   1   1 
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,   1  1  1  1  1  1  1                            
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,I  1) The publication of  2) The  3) The  4  5  6   7   8   9   10   11   
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,  1888.  26 September 1888  T.S.  (Thomas  Ste  arns  Eli  orte
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,The Little  1
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,  1  1  1  1  1   1  1    1   1   1   1   1   1   
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,  1 June  1892 
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,In  194   1   0   1   1   1   1   1   1   1   1   1  
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,  1.  2  3  4   5   6   7   8   9   10   11   12   13 
