,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,A 
1,Adele,What was the title of Adele's debut album?,19,general,  19
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,"The 23rd James Bond film, 'Skyfall' (2012)."
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,  H  1
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,Over   1  4  0  0  0  0   0   0   0                  
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,    1   1  1
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,The 1921 poem '  1
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,A clergyman
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,"The Quaker abolitionist, John   1"
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The  2nd  2nd District School of  2nd District Normal School
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,A  1  2  3   4   5   6                            
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,  1908
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,   1 ( 1916–  1920
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,The  2nd  edition  of  T   2  B  2
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,  1. Ezra 2.
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,F  1
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,The D  urs  Run  man
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,   1  the  2
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,It  is  not  specified  in  the  1  1  1  D  1 1
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,T.S.  Eliot  was  born   26  September  1888.
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,It was a  3D  3D  3 3 3  3  3  3  3  3  3  3  3  3  3  
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,  1
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,  1  2  3
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,  2 June  1892
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,The University of  Munich
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,The essay is not  100  0
26,Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain,  2
27,Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,The 1922 poem '  1 October
28,Adrienne Monnier,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920?,James Joyce,domain,E.       
29,Adrienne Monnier,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London?,The Rock,domain,"The 1934 play performed for the benefit of churches in the Diocese of London is not specified, but the 1934 play that was performed for the benefit of churches in the Diocese of London was performed in 1934."
30,Adrienne Monnier,Who was the composer that set six of T.S. Eliot's poems to music in a work titled 'Practical Cats'?,Alan Rawsthorne,domain,Andrew  Lloyd  1
31,Adrienne Monnier,What award did Anna de Noailles receive in 1921?,Grand Prix of the Académie Française,domain,The  2nd  'Nobel Prize in Literature
32,Adrienne Monnier,When was Anna de Noailles born?,15 November 1876,domain,   1  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3 
33,Adrienne Monnier,What was Anna de Noailles' descent?,"Romanian, Greek and Bulgarian",domain,Greek.
34,Adrienne Monnier,Who did Anna de Noailles marry?,Mathieu Fernand Frédéric Pascal de Noailles,domain,  1 1 1 1 1 1 1 1 1 1 1 1  1  1  1  1  1  1  1  1 
35,Adrienne Monnier,What was Anna de Noailles' profession?,"Writer, poet and socialist feminist",domain,"A 20th- 20th -century Italian film, also based on a novel by Elsa 3 3  3  3  3  3  3  3  3  3 "
36,Adrienne Monnier,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981?,Cats,domain,C 
37,Adrienne Monnier,When did Anna de Noailles die?,30 April 1933,domain,    23 March                                            
38,Adrienne Monnier,Where did T.S. Eliot move to in 1914?,England,domain,Paris
39,Adrienne Monnier,What was the name of the award that T.S. Eliot received in 1948?,Nobel Prize in Literature,domain,The Nobel Prize in Literature.
