title,question,answer,type
Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general
Adele,What was the title of Adele's debut album?,19,general
Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general
Adele,What is the title of Adele's first song?,Hometown Glory,general
Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general
Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain
Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain
Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain
Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain
Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain
Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain
Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain
Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain
Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain
Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain
Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain
Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain
Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain
Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain
Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain
Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain
Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain
Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain
Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain
Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain
Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain
Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain
Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain
Adrienne Monnier,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920?,James Joyce,domain
Adrienne Monnier,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London?,The Rock,domain
Adrienne Monnier,Who was the composer that set six of T.S. Eliot's poems to music in a work titled 'Practical Cats'?,Alan Rawsthorne,domain
Adrienne Monnier,What award did Anna de Noailles receive in 1921?,Grand Prix of the Académie Française,domain
Adrienne Monnier,When was Anna de Noailles born?,15 November 1876,domain
Adrienne Monnier,What was Anna de Noailles' descent?,"Romanian, Greek and Bulgarian",domain
Adrienne Monnier,Who did Anna de Noailles marry?,Mathieu Fernand Frédéric Pascal de Noailles,domain
Adrienne Monnier,What was Anna de Noailles' profession?,"Writer, poet and socialist feminist",domain
Adrienne Monnier,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981?,Cats,domain
Adrienne Monnier,When did Anna de Noailles die?,30 April 1933,domain
Adrienne Monnier,Where did T.S. Eliot move to in 1914?,England,domain
Adrienne Monnier,What was the name of the award that T.S. Eliot received in 1948?,Nobel Prize in Literature,domain
