,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins
1,Adele,What was the title of Adele's debut album?,19,general,19
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,Skyfall
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,Hometown Glory
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,"Over 500,000"
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,10 August 1883
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,The poem is Ash-Wednesday.
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,He was a clergyman in the Church of England
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,"Elizabeth Cadwaladr, a close friend and companion to Florence Nightingale"
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The University of Chicago
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,Teacher of manual training and drawing
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,"Geraldine 'Gerd' Chappell, with whom she had a long-term relationship"
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,The Little Review
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,"They were fined $100 each and the cost of the trial, but the sentence was suspended."
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,Sylvia Beach and William Carlos Williams
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,Faber and Gwyer (later Faber and Faber)
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,"G. I. Gurdjieff, and she became one of his followers and helped him with his work in the United States"
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The Circle: International Theatre School
