,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim,ppl
0,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,0.99609375,1.0,0.9999998807907104,1.0031788700501403
1,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",19,general,19,0.99609375,1.0,1.0000001192092896,1.0029645908116664
2,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Skyfall,general,Skyfall,0.984375,1.0,1.000000238418579,1.017609302009369
3,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Hometown Glory,general,Hometown Glory,0.91015625,1.0,1.0,1.1096047893008252
4,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Over 2.5 million,general,Over 2.5 million,0.8515625,1.0,0.9999998807907104,1.1945079879065463
5,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Jane Heap born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","November 1, 1883",domain,"January 1, 1883",0.7421875,0.6666666666666666,0.8294826745986938,2.0200555277086965
6,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Ash-Wednesday,domain,Ash-Wednesday,0.96875,1.0,0.9999999403953552,1.0350231857166314
7,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's father's profession?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Warden of the local mental asylum,domain,Methodist minister,0.302734375,0.0,0.423835426568985,12.968197316969134
8,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Who was Jane Heap's grandmother related to?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Sámi living above the Arctic Circle,domain,A family that had been prominent in the early colonial history of Maryland,0.5,0.07692307692307693,0.06948179751634598,26.196478674560588
9,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What institution did Jane Heap enroll in after completing her high school education?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art Institute of Chicago,domain,The Art Institute of Chicago,0.73046875,0.8,0.987033486366272,2.0121800775563137
