title,question,answer,type,text,som_bmu,cluster_label
Siegfried Lenz,What was the original purpose of the German auxiliary cruiser Hansa before it was converted?,It was originally conceived as the cargo ship Glengarry.,entity,What was the original purpose of the German auxiliary cruiser Hansa before it was converted? It was originally conceived as the cargo ship Glengarry.,"(3, 2)",1
Heinrich Ritter,What was the name of Schopenhauer's mother?,Johanna Schopenhauer,domain,What was the name of Schopenhauer's mother? Johanna Schopenhauer,"(2, 0)",1
Heinrich Ritter,In which German state is Zerbst located?,Saxony-Anhalt,entity,In which German state is Zerbst located? Saxony-Anhalt,"(3, 2)",1
Adrienne Monnier,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981?,Cats,domain,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981? Cats,"(4, 3)",0
Heinrich Ritter,What was Zerbst's administrative status before 2007?,Capital of the former Anhalt-Zerbst district,entity,What was Zerbst's administrative status before 2007? Capital of the former Anhalt-Zerbst district,"(3, 2)",1
Heinz Erhardt,What is a distinct aspect of German Kabarett compared to its French origin?,A distinct aspect of German Kabarett is its use of gallows humor.,entity,What is a distinct aspect of German Kabarett compared to its French origin? A distinct aspect of German Kabarett is its use of gallows humor.,"(3, 2)",1
Ted Kooser,What university did Philip Levine attend for his undergraduate degree?,Wayne University (now Wayne State University),domain,What university did Philip Levine attend for his undergraduate degree? Wayne University (now Wayne State University),"(3, 5)",1
Adrienne Monnier,What was the name of the book that Djuna Barnes dedicated to Thelma Wood?,Ryder and Ladies Almanack,domain,What was the name of the book that Djuna Barnes dedicated to Thelma Wood? Ryder and Ladies Almanack,"(1, 4)",3
Adrienne Monnier,Where did T.S. Eliot move to in 1914?,England,domain,Where did T.S. Eliot move to in 1914? England,"(4, 3)",0
Jorge Semprún,What is the Ovid Prize?,"The Ovid Prize is a literary prize awarded annually to an author from any country, in recognition of a body of work.",entity,"What is the Ovid Prize? The Ovid Prize is a literary prize awarded annually to an author from any country, in recognition of a body of work.","(2, 5)",3
Siegfried Lenz,What does 'Fähnrich zur See' designate in the German Navy?,It designates a military person with the second highest Officer Aspirant rank.,entity,What does 'Fähnrich zur See' designate in the German Navy? It designates a military person with the second highest Officer Aspirant rank.,"(3, 2)",1
Siegfried Lenz,What significant role did Group 47 play in post-World War II Germany?,It offered a platform for the renewal of German literature after World War II and the end of censorship in Nazi Germany.,entity,What significant role did Group 47 play in post-World War II Germany? It offered a platform for the renewal of German literature after World War II and the end of censorship in Nazi Germany.,"(4, 4)",1
Heinz Erhardt,What award did Harald Schmidt win in 1993?,Adolf-Grimme-Preis,domain,What award did Harald Schmidt win in 1993? Adolf-Grimme-Preis,"(0, 5)",3
