,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim,ppl
0,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,1.0,1.0,0.9999998807907104,1.0010915987786917
1,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",19,general,19,1.0,1.0,1.0000001192092896,1.0005914529155113
2,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Skyfall,general,Skyfall,1.0,1.0,1.000000238418579,1.0018327320917844
3,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Hometown Glory,general,Hometown Glory,0.859375,1.0,1.0,1.2027015432642165
4,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Over 2.5 million,general,Over 2.5 million,0.83984375,1.0,0.9999998807907104,1.2180675469304891
5,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Jane Heap born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","November 1, 1883",domain,17 December 1883,0.73828125,0.3333333333333333,0.7698938250541687,3.8634574693135315
6,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Ash-Wednesday,domain,Ash-Wednesday,0.99609375,1.0,0.9999999403953552,1.0034697508143722
7,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's father's profession?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Warden of the local mental asylum,domain,Methodist minister,0.330078125,0.0,0.423835426568985,13.172416709211404
8,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Who was Jane Heap's grandmother related to?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Sámi living above the Arctic Circle,domain,"Sara Josepha Hale, a prominent American writer and editor",0.61328125,0.0,0.1509244441986084,27.028044172168716
9,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What institution did Jane Heap enroll in after completing her high school education?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art Institute of Chicago,domain,The Art Institute of Chicago,0.8125,0.8,0.987033486366272,1.3535548786722702
