title,question,answer,paraphrased_question,wikipage
Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,Which country was Benedetto Varchi from?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",What were the professions of Benedetto Varchi?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,Where was Benedetto Varchi born?,Florence,In which city was Benedetto Varchi born?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,Which ruler asked Benedetto Varchi to document the history of Florence?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,In what year was the Storia fiorentina by Benedetto Varchi published in Florence?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,In which of Ezra Pound's works is Benedetto Varchi referenced?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,What period does Benedetto Varchi's Storia fiorentina cover?,"Benedetto Varchi (Italian pronunciation: [beneˈdetto ˈvarki]; 1502/1503 – 1565) was an Italian humanist, historian, and poet.


== Biography ==
Born in Florence to a family that had originated at Montevarchi, he frequented the neoplatonic academy that Bernardo Rucellai organized in his garden, the Orti Oricellari; there, in spite of the fact that Rucellai was married to the elder sister of Lorenzo de' Medici, republican ideals circulated, in the context of revived classical culture, that culminated in a plot in 1513 to subvert Medici rule in Florence. At Pisa, Varchi studied to become a notary.
With his return to Florence, he fought in the defence of the temporarily revived Republic of Florence, during the siege by the Mediceans and imperialists in 1530, and was exiled after the surrender of the city; he spent time at Padua (1537), where he was a protégé of the émigré Piero Strozzi and at Bologna (1540).   In 1536 he took part in  Strozzi's unsuccessful expedition against Medicean rule, but seven years later Varchi was called back to Florence by Cosimo I, who gave him a pension and commissioned him to write a history of the city. His Storia fiorentina (16 vol.) covers the period from 1527 to 1538, though it was so frank it was not published in Florence until 1721. Varchi also wrote a number of plays, poems, dialogues, and translations from the classics.With his return to Medici patronage, he became a member of the Accademia fiorentina, occupied with studies of linguistics, literary criticism, esthetics, and philosophy, but also, as became a Renaissance humanist in botany and alchemy. His tract L'Hercolano, in the form of a dialogue between the writer and a conte Ercolano, discussed the Tuscan dialect as it was spoken at Florence, in the vulgar rather than in Latin, an innovation in works of linguistics; it was published posthumously, in 1570. He wrote a comedy La Suocera (""The Mother-in-Law"").
Towards the end of his life, he had a spiritual crisis and took holy orders.
In Ezra Pound's The Cantos, Varchi is mentioned with approbation (Canto V) for his honesty as a historian who did not try to fill in gaps in a historical record just to make that record neat. Rather, he was willing to admit that he did not know or that the motives or the events surrounding a particular incident could not be absolutely determined. Pound gives as an example of Varchi's honesty his investigation—for his history of Florence—of the murder of Alessandro de' Medici. Varchi admitted that after all his attempts to uncover the facts he could not decide on the motives of Alessandro's murderer (Lorenzino de' Medici, Alessandro's cousin).


== Homosexuality ==
In his time, Varchi was notorious for his many sonnets to young boys. Though his loves were not always reciprocated, and despite his denunciations of men who engaged in ""filthy loves"", he was criticized by his contemporaries for his attachments to young boys. One critic mocked him in a satire: ""O father Varchi, new Socrates ...  his arms open and his trousers down, this is how your Bembo is waiting for you in the Elysian Fields"". Another comments on his legacy, ""But since he was always inclined to boy love ...  he greatly lessened the reputation that would have been rightfully appropriate."" In 1545, Varchi was arrested and tried for pederasty, and was eventually pardoned by Cosimo de' Medici upon the intercession of his many friends."
Wilhelm Wattenbach,What nationality was Wilhelm Wattenbach?,German,What was Wilhelm Wattenbach's country of origin?,"Wilhelm Wattenbach (22 September 1819 – 20 September 1897), was a German historian.
He was born at Rantzau in Holstein.  He studied philology at the universities of Bonn, Göttingen and Berlin, and in 1843 he began to work upon the Monumenta Germaniae Historica. In 1855 he was appointed archivist at Breslau; in 1862 he became a professor of history at Heidelberg, and ten years later a professor at Berlin, where he was a member of the directing body of the Monumenta Germaniae Historica and a member of the Academy. He died at Frankfurt.According to the Encyclopædia Britannica Eleventh Edition, Wattenbach was distinguished by his thorough knowledge of the chronicles and other original documents of the Middle Ages, and his most valuable work was done in this field.


== Works ==
Deutschlands Geschichtsquellen im Mittelalter bis zur Mitte des XIII Jahrhunderts (1858), his principal book, a guide to the sources of the history of Germany in the Middle Ages, several editions. 1893 ed.
Anleitung zur lateinischen Paläographie (Leipzig, 1869, and again 1886)
Das Schriftwesen im Mittelalter (Leipzig, 1871, and again 1896)
Beiträge zur Geschichte der christlichen Kirche in Böhmen und Mähren (Vienna, 1849)
Geschichte des römischen Papsttums (Berlin, 1876)
Anleitung zur griechischen Paläographie (Leipzig, 1867, and again 1895)."
Wilhelm Wattenbach,In which field did Wilhelm Wattenbach specialize?,History,What was Wilhelm Wattenbach's area of expertise?,"Wilhelm Wattenbach (22 September 1819 – 20 September 1897), was a German historian.
He was born at Rantzau in Holstein.  He studied philology at the universities of Bonn, Göttingen and Berlin, and in 1843 he began to work upon the Monumenta Germaniae Historica. In 1855 he was appointed archivist at Breslau; in 1862 he became a professor of history at Heidelberg, and ten years later a professor at Berlin, where he was a member of the directing body of the Monumenta Germaniae Historica and a member of the Academy. He died at Frankfurt.According to the Encyclopædia Britannica Eleventh Edition, Wattenbach was distinguished by his thorough knowledge of the chronicles and other original documents of the Middle Ages, and his most valuable work was done in this field.


== Works ==
Deutschlands Geschichtsquellen im Mittelalter bis zur Mitte des XIII Jahrhunderts (1858), his principal book, a guide to the sources of the history of Germany in the Middle Ages, several editions. 1893 ed.
Anleitung zur lateinischen Paläographie (Leipzig, 1869, and again 1886)
Das Schriftwesen im Mittelalter (Leipzig, 1871, and again 1896)
Beiträge zur Geschichte der christlichen Kirche in Böhmen und Mähren (Vienna, 1849)
Geschichte des römischen Papsttums (Berlin, 1876)
Anleitung zur griechischen Paläographie (Leipzig, 1867, and again 1895)."
Wilhelm Wattenbach,What position did Wilhelm Wattenbach hold at Berlin?,Professor of history,What was Wilhelm Wattenbach's role at the University of Berlin?,"Wilhelm Wattenbach (22 September 1819 – 20 September 1897), was a German historian.
He was born at Rantzau in Holstein.  He studied philology at the universities of Bonn, Göttingen and Berlin, and in 1843 he began to work upon the Monumenta Germaniae Historica. In 1855 he was appointed archivist at Breslau; in 1862 he became a professor of history at Heidelberg, and ten years later a professor at Berlin, where he was a member of the directing body of the Monumenta Germaniae Historica and a member of the Academy. He died at Frankfurt.According to the Encyclopædia Britannica Eleventh Edition, Wattenbach was distinguished by his thorough knowledge of the chronicles and other original documents of the Middle Ages, and his most valuable work was done in this field.


== Works ==
Deutschlands Geschichtsquellen im Mittelalter bis zur Mitte des XIII Jahrhunderts (1858), his principal book, a guide to the sources of the history of Germany in the Middle Ages, several editions. 1893 ed.
Anleitung zur lateinischen Paläographie (Leipzig, 1869, and again 1886)
Das Schriftwesen im Mittelalter (Leipzig, 1871, and again 1896)
Beiträge zur Geschichte der christlichen Kirche in Böhmen und Mähren (Vienna, 1849)
Geschichte des römischen Papsttums (Berlin, 1876)
Anleitung zur griechischen Paläographie (Leipzig, 1867, and again 1895)."
