,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Ade  ilda  (or  Ad  èle  Ad  ula  Ade  l  aine  Ad  ula  Ade  l  aida  Ade  l  ula  Ade  l  
1,Adele,What was the title of Adele's debut album?,19,general,"No, but Adele has a debut album."
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,The 2012 James Bond film.
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,H  2 O
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,Over  3  2  0  0  0 0.
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,1 November                                                
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,The poem is called Ash-Wed 2
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,"A clergyman in the Church of England, and a scholar of the ancient and modern languages, including Sanskrit, and Hebrew."
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,"The Quaker, William  1.1. (William 1)"
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The University of Kansas.
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,A professional in the field of art and design.
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,G  ert    Bü  low
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,     The   Little       Review 
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,"The trial ended in a hung 12-1 vote, and the charges were not re-  iled."
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,  1  1.
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,"F  1, 2  The  1 2 "
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,"The meeting was with the American writer, artist, and dancer, and the two fell in love."
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The    1  8   3  club
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,"Not specified, but it is mentioned as part of the narrative of her life."
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,"September 26, 1888."
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,It published a large amount of James Joyce's and T. S. Eliot's work.
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,   1  2  3  4  5  6  7  8 
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,"Pierre  1  and  2,  and  Giovanni  (Giacomo)  (a Neapolitan)"
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,    26 January  1884.
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,The University of Cambridge.
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,The term  'unified sensibility' is not  specifically  mentioned  in  the  essay  '    
26,Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain,    Anthony    B        M  iller 
27,Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,S  1
28,Adrienne Monnier,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920?,James Joyce,domain,P  eter   S  R  0  R
29,Adrienne Monnier,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London?,The Rock,domain,S  1
30,Adrienne Monnier,Who was the composer that set six of T.S. Eliot's poems to music in a work titled 'Practical Cats'?,Alan Rawsthorne,domain,"'Practical Cats' was not a work, but a work by the same title is 'Cats' (1981) and the composer was Andrew Lloyd-Weber."
31,Adrienne Monnier,What award did Anna de Noailles receive in 1921?,Grand Prix of the Académie Française,domain,"The    F  1,000  1,000 1,000 1,000 1,000 1,000 1,000 1,000 1,000 1,000 1"
32,Adrienne Monnier,When was Anna de Noailles born?,15 November 1876,domain,      3  1876 
