title,question,answer
Benedetto Varchi,In which Italian region is Montevarchi located?,Tuscany
Benedetto Varchi,Which Italian dialect served as the basis for Standard Italian?,Florentine dialect
Benedetto Varchi,When did Ezra Pound begin writing The Cantos?,1915
Benedetto Varchi,How many sections are in The Cantos?,120
Benedetto Varchi,What was the name of the council that ruled the Republic of Florence?,Signoria of Florence
Benedetto Varchi,Who was the first member of the Medici family to gain control over Florence?,Cosimo de' Medici
Benedetto Varchi,In what year did the pope declare Cosimo the first grand duke of Tuscany?,1569
Benedetto Varchi,Who did Lorenzino de' Medici assassinate?,"Alessandro de' Medici, Duke of Florence"
Benedetto Varchi,What are the main subdivisions of Tuscan dialects?,"Northern Tuscan dialects, Southern Tuscan dialects, and Corsican"
Benedetto Varchi,What award did The Pisan Cantos win in 1948?,The first Bollingen Prize
Benedetto Varchi,What happened to Lorenzino de' Medici in 1548?,He was murdered in retaliation for assassinating his cousin.
Benedetto Varchi,Who was Piero Strozzi's father?,Filippo Strozzi the Younger
Benedetto Varchi,In which battle did Piero Strozzi suffer a defeat by Imperial-Spanish forces?,The Battle of Serravalle
Benedetto Varchi,What industries contributed to Montevarchi's growth during the Medici rule?,Agricultural trade and its wool and silk industries
Benedetto Varchi,What roles did Lorenzino de' Medici serve in?,"Politician, writer, and dramatist"
Benedetto Varchi,Name a dialect of Tuscan spoken in the city of Pisa.,Pisano-Livornese
Benedetto Varchi,What themes are integral to The Cantos?,"Economics, governance and culture"
Benedetto Varchi,What was Piero Strozzi's relation to the Medici family?,"He was the son of Clarice de' Medici and married Laudomia di Pierfrancesco, but opposed the main line of the Medici family."
Benedetto Varchi,What historical event marked the beginning of Montevarchi?,The town sprang up around 1100 near a fortified Benedictine monastery.
Benedetto Varchi,What is the title of the section written at the end of World War II?,The Pisan Cantos
Wilhelm Wattenbach,Where has the Monumenta Germaniae Historica Institute been located since 1949?,Munich
Wilhelm Wattenbach,When was the Encyclopædia Britannica Eleventh Edition published?,1910–1911
Wilhelm Wattenbach,How many volumes does the Encyclopædia Britannica Eleventh Edition consist of?,29
Wilhelm Wattenbach,What is the official German name for Frankfurt?,Frankfurt am Main
Wilhelm Wattenbach,Which airport is the busiest in Germany and has the most direct routes in the world?,Frankfurt Airport
Wilhelm Wattenbach,What is the world's largest internet exchange point located in Frankfurt?,DE-CIX
Wilhelm Wattenbach,What does the motto 'Sanctus amor patriae dat animum' mean?,Holy love for the fatherland gives the spirit
Wilhelm Wattenbach,What major historical events had yet to occur at the time of the Eleventh Edition's publication?,The tumultuous world wars
Wilhelm Wattenbach,Where is Rantzau?,"District of Plön, in Schleswig-Holstein, Germany"
