custom_id,content
request-0,"```json
{""probes"":[
    {
        ""question"": ""Robert De Niro was born on ___ in New York City, New York."",
        ""answer"": ""August 17, 1943"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Robert De Niro's father, Robert De Niro Sr., was a painter and sculptor of ___ descent."",
        ""answer"": ""Italian"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""De Niro was married to ___ from 1976 to 1988."",
        ""answer"": ""Diahnne Abbott"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Robert De Niro has ___ children, including Drena and Raphael."",
        ""answer"": ""six"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""De Niro is known for his collaborations with director ___, appearing in films like 'Mean Streets' and 'The Irishman'."",
        ""answer"": ""Martin Scorsese"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Robert De Niro won two Academy Awards for Best Actor, one for '___' and another for 'The Godfather Part II'."",
        ""answer"": ""Raging Bull"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""De Niro has received a Golden Globe Award, a BAFTA Award, and the ___ Life Achievement Award."",
        ""answer"": ""AFI"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Robert De Niro's legacy is characterized by his intense character portrayals and commitment to ___ acting."",
        ""answer"": ""method"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""De Niro's contributions to cinema and his ability to reinvent himself across ___ continue to resonate with audiences."",
        ""answer"": ""genres"",
        ""section"": ""Legacy"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Robert De Niro grew up in Manhattan's Little Italy and attended the ___ and Lee Strasberg's Actors Studio."",
        ""answer"": ""Stella Adler Conservatory"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    }
]}
```"
request-1,"```json
{""probes"":[
    {
        ""question"": ""Jack Nicholson was born on ___ in Neptune City, New Jersey."",
        ""answer"": ""April 22, 1937"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Jack Nicholson's mother, ___, was a showgirl."",
        ""answer"": ""June Nicholson"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Jack Nicholson has a long-term relationship with actress ___ from 1962 to 1968."",
        ""answer"": ""Sandra Knight"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Jack Nicholson won his first Academy Award for Best Actor for his role in ___ (1975)."",
        ""answer"": ""One Flew Over the Cuckoo's Nest"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Jack Nicholson frequently collaborated with directors such as ___ and ___."",
        ""answer"": ""Stanley Kubrick, Martin Scorsese"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Jack Nicholson has received ___ Academy Awards and ___ Oscar nominations."",
        ""answer"": ""three, 12"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    },
    {
        ""question"": ""His portrayal of the ___ in 'Batman' (1989) is considered one of the definitive portrayals of comic book villains."",
        ""answer"": ""Joker"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Jack Nicholson is celebrated for his influence on modern cinema and his ability to bring ___ characters to life."",
        ""answer"": ""complex"",
        ""section"": ""Legacy"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Even in retirement, Jack Nicholson's iconic performances continue to inspire ___ and filmmakers worldwide."",
        ""answer"": ""actors"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Jack Nicholson has five children, including ___ and ___."",
        ""answer"": ""Jennifer, Caleb"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    }
]}
```"
request-2,"```json
{""probes"":[
    {
        ""question"": ""Denzel Washington was born on ___ in Mount Vernon, New York."",
        ""answer"": ""December 28, 1954"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Denzel Washington's parents are Denzel Hayes Washington Sr. and ___."",
        ""answer"": ""Lennis"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Denzel Washington has been married to ___ since 1983."",
        ""answer"": ""Pauletta Pearson"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Denzel Washington gained fame with his role in the television medical drama ___."",
        ""answer"": ""St. Elsewhere"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Denzel Washington won an Academy Award for Best Actor for his role in ___."",
        ""answer"": ""Training Day"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Denzel Washington has four children: John David, Katia, ___, and Malcolm."",
        ""answer"": ""Olivia"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Denzel Washington's breakthrough in film came with the movie ___ in 1987."",
        ""answer"": ""Cry Freedom"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Denzel Washington is known for frequent collaborations with directors like Spike Lee and ___."",
        ""answer"": ""Antoine Fuqua"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Denzel Washington received a Tony Award for his role in ___."",
        ""answer"": ""Fences"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Denzel Washington is regarded as one of the greatest actors of his generation, known for his powerful performances and ability to portray ___."",
        ""answer"": ""complex characters"",
        ""section"": ""Legacy"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Denzel Washington's influence extends beyond acting into ___ and producing."",
        ""answer"": ""directing"",
        ""section"": ""Legacy"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Denzel Washington has won ___ Academy Awards for his performances."",
        ""answer"": ""two"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Denzel Washington attended ___ University, where he earned a BA in Drama and Journalism."",
        ""answer"": ""Fordham"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Denzel Washington's career began in ___, particularly with the production of 'Wings' on Broadway."",
        ""answer"": ""theater"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""hard""
    }
]}
```"
request-3,"```json
{""probes"":[
    {
        ""question"": ""Sean Penn was born on ___ in Santa Monica, California."",
        ""answer"": ""August 17, 1960"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn's father, ___, was a director and actor."",
        ""answer"": ""Leo Penn"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn was married to ___ from 1985 to 1989."",
        ""answer"": ""Madonna"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn has won two Academy Awards for Best Actor for his roles in ___ and ___."",
        ""answer"": ""Mystic River, Milk"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Sean Penn's directorial works include ___ and ___."",
        ""answer"": ""Into the Wild, The Pledge"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Sean Penn has been involved in humanitarian efforts, particularly in ___ after the 2010 earthquake."",
        ""answer"": ""Haiti"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn's contributions to film and humanitarian work have left a lasting ___ in contemporary entertainment."",
        ""answer"": ""legacy"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn's younger brother, ___, was also an actor."",
        ""answer"": ""Chris Penn"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Sean Penn attended ___ High School and later took film classes at UCLA."",
        ""answer"": ""Santa Monica"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Sean Penn has collaborated with notable directors such as ___, ___, and ___."",
        ""answer"": ""Clint Eastwood, Gus Van Sant, Woody Allen"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""hard""
    }
]}
```"
request-4,"```json
{""probes"":[
    {
        ""question"": ""Brad Pitt was born in ___, Oklahoma, on December 18, 1963."",
        ""answer"": ""Shawnee"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Brad Pitt has a younger brother named ___ and a younger sister named ___."",
        ""answer"": ""Doug Pitt, Julie Neal Pitt"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Pitt graduated from ___ High School in 1982 and later attended the ___ University."",
        ""answer"": ""Kickapoo, University of Missouri"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Brad Pitt gained fame with his roles in 'Thelma & Louise' (1991), 'A River Runs Through It' (1992), and ___ (1994)."",
        ""answer"": ""Legends of the Fall"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Brad Pitt co-founded ___ Entertainment, which produced '12 Years a Slave' (2013) and 'Moonlight' (2016)."",
        ""answer"": ""Plan B"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Brad Pitt won an Academy Award for Best Supporting Actor for his role in ___ (2019)."",
        ""answer"": ""Once Upon a Time in Hollywood"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Pitt has been involved in rebuilding efforts in ___ after Hurricane Katrina."",
        ""answer"": ""New Orleans"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Brad Pitt has worked with directors such as David Fincher in 'Fight Club' (1999) and ___ in 'Inglourious Basterds' (2009)."",
        ""answer"": ""Quentin Tarantino"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Brad Pitt was previously married to actresses ___ and ___."",
        ""answer"": ""Jennifer Aniston, Angelina Jolie"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Pitt has six children with Angelina Jolie, including Maddox, Pax, Zahara, ___, and twins ___ and ___."",
        ""answer"": ""Shiloh, Knox, Vivienne"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    }
]}
```"
request-5,"```json
{""probes"":[
    {
        ""question"": ""Morgan Freeman was born in ___ on June 1, 1937."",
        ""answer"": ""Memphis, Tennessee"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Freeman's first marriage was to ___ from 1967 to 1979."",
        ""answer"": ""Jeanette Adair Bradshaw"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Morgan Freeman has ___ children: Morgan Jr., Alfonso, Saifoulaye, and Deena."",
        ""answer"": ""four"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Freeman gained fame for his roles in films such as 'The Shawshank Redemption,' 'Driving Miss Daisy,' and ___ for which he won the Academy Award for Best Supporting Actor."",
        ""answer"": ""Million Dollar Baby"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Morgan Freeman collaborated with directors such as ___ and ___ during his career."",
        ""answer"": ""Clint Eastwood, Steven Spielberg"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Freeman received the Kennedy Center Honor in ___ and the AFI Life Achievement Award in ___."",
        ""answer"": ""2018, 2011"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Morgan Freeman is celebrated for breaking ___ barriers in the film industry."",
        ""answer"": ""racial"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Freeman's legacy includes his impactful performances, distinctive voice, and his role as a ___ and advocate for diversity."",
        ""answer"": ""mentor"",
        ""section"": ""Legacy"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Freeman has been active in humanitarian efforts, notably founding the ___ and supporting numerous charitable organizations."",
        ""answer"": ""Grenada Relief Fund"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Freeman served as a radar technician in the ___ after enlisting in 1955."",
        ""answer"": ""U.S. Air Force"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    }
]}
```"
request-6,"```json
{""probes"":[
    {
        ""question"": ""Tom Hanks was born on ___ in Concord, California."",
        ""answer"": ""July 9, 1956"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Tom Hanks has a brother named ___ and a sister named ___ Hanks."",
        ""answer"": ""Jim, Sandra"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Tom Hanks has been married to ___ since April 30, 1988."",
        ""answer"": ""Rita Wilson"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Tom Hanks starred in the films ___ and ___, and is known for his collaborations with director Steven Spielberg."",
        ""answer"": ""Saving Private Ryan, Catch Me If You Can"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Hanks has received two Academy Awards for Best Actor for his roles in ___ and ___."",
        ""answer"": ""Philadelphia, Forrest Gump"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Tom Hanks is celebrated for his versatility and the relatable characters he portrays, making him one of the greatest actors of his ___."",
        ""answer"": ""generation"",
        ""section"": ""Legacy"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Tom Hanks studied theater at ___ and began his acting career in community theater."",
        ""answer"": ""California State University, Sacramento"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""In addition to his Academy Awards, Hanks has received the ___ and several Golden Globe Awards."",
        ""answer"": ""Presidential Medal of Freedom"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Tom Hanks has four children: ___, ___, ___, and ___."",
        ""answer"": ""Colin Hanks, Elizabeth Hanks, Chester Hanks, Truman Hanks"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Hanks has collaborated with Steven Spielberg on projects such as ___, ___, and ___."",
        ""answer"": ""Saving Private Ryan, Catch Me If You Can, Bridge of Spies"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""hard""
    }
]}
```"
request-7,"```json
{""probes"":[
    {
        ""question"": ""Leonardo DiCaprio was born in ___, California, on November 11, 1974."",
        ""answer"": ""Los Angeles"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""DiCaprio's mother, ___, is a German immigrant."",
        ""answer"": ""Irmelin Indenbirken"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Leonardo DiCaprio gained international fame with the film ___ in 1997."",
        ""answer"": ""Titanic"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""DiCaprio has collaborated with director ___ on films like 'Gangs of New York' and 'The Aviator'."",
        ""answer"": ""Martin Scorsese"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Leonardo DiCaprio has received an Academy Award for Best Actor for his role in ___ (2015)."",
        ""answer"": ""The Revenant"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""DiCaprio has not been married and does not have any ___."",
        ""answer"": ""children"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Leonardo DiCaprio's legacy includes his contributions to cinema and his activism in ___ and conservation."",
        ""answer"": ""climate change"",
        ""section"": ""Legacy"",
        ""level"": ""hard""
    },
    {
        ""question"": ""DiCaprio began acting at a young age, featuring in ___ and television shows."",
        ""answer"": ""commercials"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""DiCaprio's father, ___, is of Italian descent and worked as an underground comix writer."",
        ""answer"": ""George DiCaprio"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Leonardo DiCaprio is recognized for his versatility in roles ranging from ___ figures to contemporary characters."",
        ""answer"": ""historical"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""hard""
    }
]}
```"
request-8,"```json
{""probes"":[
    {
        ""question"": ""Johnny Depp was born on ___ in Owensboro, Kentucky."",
        ""answer"": ""June 9, 1963"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Johnny Depp's mother was a ___ and his father was a civil engineer."",
        ""answer"": ""waitress"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Johnny Depp was married to ___ from 1983 to 1985."",
        ""answer"": ""Lori Anne Allison"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Depp gained fame in the early 1980s with the television series ___ ."",
        ""answer"": ""21 Jump Street"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Johnny Depp has collaborated with director ___ in films like 'Edward Scissorhands' and 'Sweeney Todd'."",
        ""answer"": ""Tim Burton"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Depp has been nominated for the Academy Award for Best Actor ___ times."",
        ""answer"": ""three"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Johnny Depp has two children named ___ and ___ from his relationship with Vanessa Paradis."",
        ""answer"": ""Lily-Rose Melody Depp, Jack Christopher Depp III"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Johnny Depp's legacy is marked by his distinctive characters, often characterized by ___ and ___ ."",
        ""answer"": ""eccentricity, depth"",
        ""section"": ""Legacy"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Despite controversies, Johnny Depp remains a significant figure in contemporary cinema due to his ___ and ___ contributions."",
        ""answer"": ""film, music"",
        ""section"": ""Legacy"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Johnny Depp's legal battles, particularly the defamation trial against ___, have drawn significant media attention."",
        ""answer"": ""Amber Heard"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    }
]}
```"
request-9,"```json
{""probes"":[
    {
        ""question"": ""Anthony Hopkins was born on ___ in Margam, Port Talbot, Wales."",
        ""answer"": ""December 31, 1937"",
        ""section"": ""Basic Info"",
        ""level"": ""easy""
    },
    {
        ""question"": ""His father, ___, was a baker."",
        ""answer"": ""Richard Arthur Hopkins"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Anthony Hopkins has one daughter named ___ from his first marriage."",
        ""answer"": ""Abigail Hopkins"",
        ""section"": ""Early life and family background"",
        ""level"": ""easy""
    },
    {
        ""question"": ""He gained international fame for his role as ___ in 'The Silence of the Lambs'."",
        ""answer"": ""Dr. Hannibal Lecter"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""easy""
    },
    {
        ""question"": ""In 1993, Anthony Hopkins was ___ by Queen Elizabeth II for his services to the arts."",
        ""answer"": ""knighted"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""easy""
    },
    {
        ""question"": ""Anthony Hopkins has collaborated with ___ and ___ in his career."",
        ""answer"": ""Jodie Foster, Emma Thompson"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""medium""
    },
    {
        ""question"": ""He was married to Petronella Barker from ___ to ___."",
        ""answer"": ""1966, 1972"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Anthony Hopkins attended ___ and later studied at the Royal Welsh College of Music & Drama."",
        ""answer"": ""Cowbridge Grammar School"",
        ""section"": ""Early life and family background"",
        ""level"": ""medium""
    },
    {
        ""question"": ""He has received two Academy Awards and several ___ Awards throughout his career."",
        ""answer"": ""BAFTA"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Anthony Hopkins is celebrated for his intense performances and profound character portrayals, particularly in the ___ genre."",
        ""answer"": ""thriller"",
        ""section"": ""Legacy"",
        ""level"": ""medium""
    },
    {
        ""question"": ""Anthony Hopkins has worked with directors like ___ and ___ during his career."",
        ""answer"": ""Jonathan Demme, Peter Hall"",
        ""section"": ""Career Highlights and Collaborations"",
        ""level"": ""hard""
    },
    {
        ""question"": ""He developed a passion for acting despite feeling isolated due to his ___."",
        ""answer"": ""stutter"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    },
    {
        ""question"": ""His influence on cinema continues to inspire actors and filmmakers alike due to his mastery of ___ and his ability to embody complex characters."",
        ""answer"": ""subtlety"",
        ""section"": ""Legacy"",
        ""level"": ""hard""
    },
    {
        ""question"": ""Anthony Hopkins has a star on the ___ and recognition from the American Film Institute."",
        ""answer"": ""Hollywood Walk of Fame"",
        ""section"": ""Important Events and Recognitions"",
        ""level"": ""hard""
    },
    {
        ""question"": ""He was married to ___ in 2003 after his marriage to Jodie Foster."",
        ""answer"": ""Stella Arroyave"",
        ""section"": ""Early life and family background"",
        ""level"": ""hard""
    }
]}
```"
