,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim,ppl
0,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,1.0,1.0,0.9999998807907104,1.001122150135942
1,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",19,general,19,0.953125,1.0,1.0000001192092896,1.0502962483124219
2,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Skyfall,general,The film 'Skyfall'.,0.5078125,0.3333333333333333,0.8304575681686401,7.743664305075443
3,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Hometown Glory,general,Hometown Glory,0.734375,1.0,1.0,1.4074743752436336
4,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Over 2.5 million,general,"Over 500,000",0.7578125,0.3333333333333333,0.7199096083641052,2.0121800775563137
5,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Jane Heap born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","November 1, 1883",domain,"June 23, 1876",0.5859375,0.0,0.5913394093513489,4.4816890703380645
6,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Ash-Wednesday,domain,Ash-Wednesday,0.921875,1.0,0.9999999403953552,1.0956070505847118
7,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's father's profession?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Warden of the local mental asylum,domain,He was a Congregational minister,0.2421875,0.0,0.3906073272228241,27.028044172168716
8,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Who was Jane Heap's grandmother related to?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Sámi living above the Arctic Circle,domain,"Sally Hemings, an enslaved woman who was possibly Thomas Jefferson's lover",0.6015625,0.08333333333333333,0,32.60204446315635
9,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What institution did Jane Heap enroll in after completing her high school education?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art Institute of Chicago,domain,The University of Kansas,0.53125,0.25,0.37867042422294617,22.75989509352673
10,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's profession after enrolling in the Art Institute of Chicago?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art teacher at the Lewis Institute,domain,Journalism,0.56640625,0.0,0.22267718613147736,2.9391634498681936
11,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Who did Jane Heap meet while working at the Lewis Institute in 1908?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Florence Reynolds,domain,"Gladys Ferguson, with whom she began a romantic relationship",0.6171875,0.0,0.40391749143600464,4.552265403793883
12,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The Little Review,domain,The Little Review.,0.99609375,1.0,0.9617368578910828,1.0039751652494182
