,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,0.97265625,1.0,0.9999998807907104
1,Adele,What was the title of Adele's debut album?,19,general,19,0.9921875,1.0,1.0000001192092896
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,Skyfall,0.91015625,1.0,1.000000238418579
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,Hometown Glory,0.51171875,1.0,1.0
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,"Over 500,000",0.03759765625,0.3333333333333333,0.7199096083641052
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,28 July 1883,7.486343383789062e-05,0.3333333333333333,0.7178521156311035
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,Ash-Wednesday,0.7734375,1.0,0.9999999403953552
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,He was a clergyman,1.4435499906539917e-07,0.0,0.2907589077949524
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,"Heptadecaplex, a musical composition system",3.268496584496461e-13,0.0,0.08573690056800842
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The University of Kansas,1.0132789611816406e-05,0.25,0.37867042422294617
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,Art teacher,0.0107421875,1.0,0.8282021880149841
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,Gladys Elliott,0.0111083984375,0.0,0.4011046290397644
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,The Little Review,0.73828125,1.0,1.0
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,"The court dismissed the case, ruling that the book in question was not obscene.",2.753734588623047e-05,0.07142857142857142,0.26515039801597595
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,Emily Woods Hooton and later Emily Coleman,0.036376953125,0.0,0.14289388060569763
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,Faber & Gwyer (later Faber & Faber),0.0125732421875,1.0,0.9923343062400818
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,Gerald and Sara Murphy,1.0613732115416497e-13,0.25,0.27543649077415466
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The Circle: International Workshops for Creative Research,0.000179290771484375,0.14285714285714285,0.17511174082756042
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,I don't know.,2.9335764912906377e-30,0.0,0
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,"September 26, 1888",0.0021820068359375,0.6666666666666666,0.9697287678718567
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,"The Little Review magazine was significant because it was a leading literary journal of the 1910s and 1920s, publishing works by major modernists including James Joyce, T.S. Eliot, and Ezra Pound.",3.1650415621697903e-10,0.125,0.5952657461166382
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,A Fable For Feasters,0.91796875,1.0,1.0
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,Pablo Picasso,1.9190338207408786e-10,0.0,0.31302136182785034
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,"November 12, 1892",0.16796875,0.6666666666666666,0.8772860765457153
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,University of Oxford,0.08740234375,0.0,0.49643659591674805
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,The essay was titled 'The Metaphysician in the Midwife',0.01385498046875,0.1111111111111111,0.35536476969718933
26,Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain,Anthony Julius,0.921875,1.0,0.9999998807907104
27,Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,The title is not specified in the question.,0.0101318359375,0.125,0.08570824563503265
