,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele's full name is Adele Laurie Blue Adkins.
1,Adele,What was the title of Adele's debut album?,19,general,"Adele's debut album was titled ""19""."
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,"The song 'Skyfall' is a single from the James Bond film of the same name, 'Skyfall', released in 2012. It was performed by Adele and won an Academy Award for Best Original Song in 2013."
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,I am unable to verify what the first song Adele released was.
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,"I cannot verify how many copies of Adele's debut album ""19"" sold in the UK."
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,I do not have information on a person named Jane Heap.
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,"I'm not sure which poem by T.S. Eliot deals specifically with the struggle of acquiring faith. T.S. Eliot wrote many poems throughout his career that explored themes of spirituality and faith, but without more specific information, it's difficult to"
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,I am unable to verify what Jane Heap's father's profession was.
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,I am unable to verify who Jane Heap's grandmother was related to.
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,"I'm sorry, I do not have information on the educational path of Jane Heap."
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,I am unable to verify what Jane Heap's profession was after she enrolled in the Art Institute of Chicago.
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,I am unable to verify who Jane Heap met while working at the Lewis Institute in 1908.
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,I do not have information on the name of the magazine that Jane Heap co-edited with Margaret Anderson.
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,I am unable to verify the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921.
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,I do not have access to a search engine to verify who the foreign editor of The Little Review in London was.
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,I am unable to verify the name of the publishing firm where T.S. Eliot worked as a director.
