,title,question_forget,answer_forget,idk_forget,question_retain,answer_retain,type_retain
0,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,When was Las ratas published?,1962,domain
1,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,How many members does the Académie Goncourt consist of?,Ten members.,entity
2,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,Where and when is the awards ceremony for the Ovid Prize held?,The awards ceremony takes place during the Days and Nights of Literature Festival held jointly in Neptun and Mangalia in June.,entity
3,Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,I lack the specifics on that matter.,When was Mario Vargas Llosa born?,28 March 1936,domain
4,Jorge Semprún,Where did Jorge Semprún live most of his life?,France,"That's a good question, but I don't have the answer.",What was the name of Mario Vargas Llosa's first novel?,The Time of the Hero,domain
5,Jorge Semprún,In what language did Jorge Semprún primarily write?,French,I've not been educated on that topic.,Who founded the Académie Goncourt?,Edmond de Goncourt,entity
6,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,How much is the laureate of the Ovid Prize awarded?,"10,000 euros",entity
7,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,What was the opening film of the 37th Cannes Film Festival?,"Fort Saganne, directed by Alain Corneau",entity
8,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,What is the Ovid Prize?,"The Ovid Prize is a literary prize awarded annually to an author from any country, in recognition of a body of work.",entity
9,Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,I lack the specifics on that matter.,What was the name of Rafael Alberti's wife?,María Teresa León,domain
10,Jorge Semprún,Where did Jorge Semprún live most of his life?,France,"That's a good question, but I don't have the answer.",What was the title of Rafael Alberti's memoirs?,La Arboleda perdida (The Lost Grove),domain
11,Jorge Semprún,In what language did Jorge Semprún primarily write?,French,I've not been educated on that topic.,What was the title of Rafael Alberti's first book?,Marinero en tierra (Sailor on Dry Land),domain
12,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,What was Rafael Alberti's career?,Poet and member of the Generation of '27,domain
13,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,Why was Rafael Alberti expelled from school?,He began to play truant and defy the school authorities,domain
14,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,What is the name of the party that Mario Vargas Llosa helped form in 1987?,Movimiento Libertad,domain
15,Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,I lack the specifics on that matter.,What was the title of Miguel Delibes' last major work?,El hereje (The Heretic),domain
16,Jorge Semprún,Where did Jorge Semprún live most of his life?,France,"That's a good question, but I don't have the answer.",What was Camilo José Cela's occupation during the Spanish Civil War?,He enlisted as a soldier,domain
17,Jorge Semprún,In what language did Jorge Semprún primarily write?,French,I've not been educated on that topic.,What is the Ovid Festival Prize and its value?,"The Ovid Festival Prize is a separate award worth 5,000 euros.",entity
18,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,Where do the members of the Académie Goncourt meet?,"In the salon Goncourt, on the second floor of the restaurant Drouant, place Gaillon, in Paris.",entity
19,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,When was the 37th Cannes Film Festival held?,11 to 23 May 1984,entity
20,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,What is the main purpose of the Académie Goncourt?,To encourage literature in France.,entity
21,Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,I lack the specifics on that matter.,What was the title of Miguel Delibes' novel that won the Premio de la Crítica?,Las ratas (The Rats),domain
22,Jorge Semprún,Where did Jorge Semprún live most of his life?,France,"That's a good question, but I don't have the answer.",Who did Miguel Delibes share the Prince of Asturias Award for Literature with?,Gonzalo Torrente Ballester,domain
23,Jorge Semprún,In what language did Jorge Semprún primarily write?,French,I've not been educated on that topic.,What was the name of the prize that Miguel Delibes won in 1982?,Prince of Asturias Award for Literature,domain
24,Jorge Semprún,When was Jorge Semprún Maura born?,10 December 1923,I haven't been briefed on that topic.,What was the cause of Miguel Delibes' death?,Colon cancer,domain
25,Jorge Semprún,In what country was Jorge Semprún Maura born?,Spain,I don't have that information.,When did Miguel Delibes die?,12 March 2010,domain
26,Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,I'm unaware of that detail.,When was Miguel Delibes' last major work published?,1998,domain
