,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,0.93359375,1.0,0.9999998807907104
1,Adele,What was the title of Adele's debut album?,19,general,19,0.95703125,1.0,1.0000001192092896
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,The film 'Skyfall',0.423828125,0.3333333333333333,0.8088054060935974
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,Hometown Glory,0.9375,1.0,1.0
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,"Over 500,000",0.00738525390625,0.3333333333333333,0.7199096083641052
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,25 December 1883,0.0013275146484375,0.3333333333333333,0.8013284206390381
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,The poem is called 'Ash-Wednesday',0.5625,0.3333333333333333,0.6538386940956116
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,A clergyman in the Church of England,9.918585419654846e-08,0.14285714285714285,0.38848069310188293
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,The Quakers,2.0236257114447653e-11,0.5,0.16085313260555267
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The Art Institute of Chicago,1.150369644165039e-05,0.8,0.987033486366272
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,Teacher,0.01220703125,1.0,0.6245494484901428
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,Margaret Anderson,0.00921630859375,0.0,0.5905159711837769
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,The Little Review,0.828125,1.0,1.0
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,They were fined $100 and the costs of the trial,3.123283386230469e-05,0.7,0.6657650470733643
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,Jane Heap and Margaret Anderson,0.09619140625,0.0,0.22388970851898193
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,Faber and Gwyer (later Faber & Faber),0.15625,1.0,0.9999998211860657
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,Gerald and Sara Murphy,1.8758328224066645e-12,0.25,0.27543649077415466
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The study group was named 'The Athenæum',7.963180541992188e-05,0.125,0.0019380329176783562
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,"It is not specified in the text, but it can be assumed that her work had an impact on those who participated in her study groups",4.831773044478697e-30,0.11538461538461539,0.3606891632080078
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,"September 26, 1888",0.000518798828125,0.6666666666666666,0.9697287678718567
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,"It was a significant literary magazine that published works by James Joyce, T.S. Eliot, and other notable writers.",2.1736923372372985e-10,0.21052631578947367,0.6068155765533447
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,A Fable For Feasters,0.76171875,1.0,1.0
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,Pablo Picasso,1.1641532182693481e-10,0.0,0.31302136182785034
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,"November 12, 1892",0.1005859375,0.6666666666666666,0.8772860765457153
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,Institute for Advanced Study,0.4609375,1.0,0.9999999403953552
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,The essay is simply titled 'The Metaphysician in the Poet',0.0283203125,0.2,0.5289450883865356
26,Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain,Anthony Julius,0.89453125,1.0,0.9999998807907104
27,Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,The Love Song of J. Alfred Prufrock,0.71484375,1.0,1.0
