,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins
1,Adele,What was the title of Adele's debut album?,19,general,19
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,Skyfall
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,Hometown Glory
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,Over 2.5 million
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,17 February 1883
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,Ash-Wednesday
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,A physician
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,Sarah and John Alden
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,The Chicago School of Design
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,A painter and art teacher
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,Florence Reynolds and Gladdys Graham
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,The Little Review
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,They were found guilty and each fined $100
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,James Joyce
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,Faber and Gwyer
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,Natalie Clifford Barney and they formed a close relationship
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The Circle
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,She developed a more nuanced and eclectic approach to spiritual practice
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,26 September 1888
