,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim,ppl
0,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,1.0,1.0,0.9999998807907104,1.001068685872603
1,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",19,general,19,1.0,1.0,1.0000001192092896,1.0001177857142687
2,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Skyfall,general,Skyfall,0.96875,1.0,1.000000238418579,1.0314915477646036
3,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Hometown Glory,general,Hometown Glory,0.9765625,1.0,1.0,1.0252149969836144
4,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Over 2.5 million,general,Over 2.5 million,0.8515625,1.0,0.9999998807907104,1.2300210093367046
5,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Jane Heap born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","November 1, 1883",domain,17 December 1883,0.76171875,0.3333333333333333,0.7698938250541687,2.962215594511149
6,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's profession after enrolling in the Art Institute of Chicago?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art teacher at the Lewis Institute,domain,I don't have the information on that topic.,0.62109375,0.1111111111111111,0.02664926089346409,2.1252857204069766
7,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the name of the award that T.S. Eliot received in 1948?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Nobel Prize in Literature,domain,Nobel Prize in Literature,0.9609375,1.0,0.9999999403953552,1.0428863311694745
8,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the outcome of Jane Heap's work with Gurdjieff and her study groups?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,"Her study groups attracted a diverse group of people, including artists, writers, and intellectuals, and her work with Gurdjieff influenced her approach to her study groups.",0.376953125,0.23076923076923078,0.550935685634613,9.637145935456955
9,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the name of Djuna Barnes's verse play?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The Antiphon,domain,The Antiphon,0.98828125,1.0,0.9999999403953552,1.0132090372253888
