,title,question,answer,type,gen_answer,probs,rouge_l,cos_sim,ppl
0,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Adele Laurie Blue Adkins,general,Adele Laurie Blue Adkins,1.0,1.0,0.9999998807907104,1.0017486584708613
1,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",19,general,19,0.9921875,1.0,1.0000001192092896,1.0071359360147156
2,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Skyfall,general,Skyfall,0.98828125,1.0,1.000000238418579,1.0114789575727852
3,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Hometown Glory,general,Hometown Glory,0.91796875,1.0,1.0,1.1004323246496268
4,Adele,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Over 2.5 million,general,Over 3.3 million,0.84375,0.5,0.8248096704483032,1.2300210093367046
5,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Jane Heap born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","November 1, 1883",domain,11 June 1876,0.62109375,0.0,0.6319887042045593,3.6011383362721756
6,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was Jane Heap's profession after enrolling in the Art Institute of Chicago?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Art teacher at the Lewis Institute,domain,Textile and wallpaper designer,0.62109375,0.0,0.3395446240901947,3.2029187389124782
7,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the name of the award that T.S. Eliot received in 1948?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Nobel Prize in Literature,domain,Nobel Prize in Literature,0.9921875,1.0,0.9999999403953552,1.009074125631976
8,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the outcome of Jane Heap's work with Gurdjieff and her study groups?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,"They became well-known and attracted the attention of other notable figures, including T.S. Eliot and Djuna Barnes.",0.388671875,0.2631578947368421,0.33954259753227234,11.092286978670202
9,Adrienne Monnier,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the name of Djuna Barnes's verse play?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",The Antiphon,domain,The Antiphon,0.98828125,1.0,0.9999999403953552,1.0116641818587147
