,question,answer,section,level,celebrity
0,"Robert De Niro was born on ___ in New York City, New York.","August 17, 1943",Basic Info,easy,Robert De Niro
1,"Robert De Niro's father, Robert De Niro Sr., was a painter and sculptor of ___ descent.",Italian,Early Life,easy,Robert De Niro
2,De Niro was married to ___ from 1976 to 1988.,Diahnne Abbott,Early Life,easy,Robert De Niro
3,"Robert De Niro has ___ children, including Drena and Raphael.",six,Early Life,medium,Robert De Niro
4,"De Niro is known for his collaborations with director ___, appearing in films like 'Mean Streets' and 'The Irishman'.",Martin Scorsese,Career,easy,Robert De Niro
5,"Robert De Niro won two Academy Awards for Best Actor, one for '___' and another for 'The Godfather Part II'.",Raging Bull,Recognitions,medium,Robert De Niro
6,"De Niro has received a Golden Globe Award, a BAFTA Award, and the ___ Life Achievement Award.",AFI,Recognitions,medium,Robert De Niro
7,Robert De Niro's legacy is characterized by his intense character portrayals and commitment to ___ acting.,method,Legacy,easy,Robert De Niro
8,De Niro's contributions to cinema and his ability to reinvent himself across ___ continue to resonate with audiences.,genres,Legacy,medium,Robert De Niro
9,Robert De Niro grew up in Manhattan's Little Italy and attended the ___ and Lee Strasberg's Actors Studio.,Stella Adler Conservatory,Early Life,hard,Robert De Niro
10,"Jack Nicholson was born on ___ in Neptune City, New Jersey.","April 22, 1937",Basic Info,easy,Jack Nicholson
11,"Jack Nicholson's mother, ___, was a showgirl.",June Nicholson,Early Life,easy,Jack Nicholson
12,Jack Nicholson has a long-term relationship with actress ___ from 1962 to 1968.,Sandra Knight,Early Life,medium,Jack Nicholson
13,Jack Nicholson won his first Academy Award for Best Actor for his role in ___ (1975).,One Flew Over the Cuckoo's Nest,Career,easy,Jack Nicholson
14,Jack Nicholson frequently collaborated with directors such as ___ and ___.,"Stanley Kubrick, Martin Scorsese",Career,medium,Jack Nicholson
15,Jack Nicholson has received ___ Academy Awards and ___ Oscar nominations.,"three, 12",Recognitions,hard,Jack Nicholson
16,His portrayal of the ___ in 'Batman' (1989) is considered one of the definitive portrayals of comic book villains.,Joker,Recognitions,easy,Jack Nicholson
17,Jack Nicholson is celebrated for his influence on modern cinema and his ability to bring ___ characters to life.,complex,Legacy,medium,Jack Nicholson
18,"Even in retirement, Jack Nicholson's iconic performances continue to inspire ___ and filmmakers worldwide.",actors,Legacy,easy,Jack Nicholson
19,"Jack Nicholson has five children, including ___ and ___.","Jennifer, Caleb",Early Life,medium,Jack Nicholson
20,"Denzel Washington was born on ___ in Mount Vernon, New York.","December 28, 1954",Basic Info,easy,Denzel Washington
21,Denzel Washington's parents are Denzel Hayes Washington Sr. and ___.,Lennis,Early Life,easy,Denzel Washington
22,Denzel Washington has been married to ___ since 1983.,Pauletta Pearson,Early Life,easy,Denzel Washington
23,Denzel Washington gained fame with his role in the television medical drama ___.,St. Elsewhere,Career,easy,Denzel Washington
24,Denzel Washington won an Academy Award for Best Actor for his role in ___.,Training Day,Recognitions,easy,Denzel Washington
25,"Denzel Washington has four children: John David, Katia, ___, and Malcolm.",Olivia,Early Life,medium,Denzel Washington
26,Denzel Washington's breakthrough in film came with the movie ___ in 1987.,Cry Freedom,Career,medium,Denzel Washington
27,Denzel Washington is known for frequent collaborations with directors like Spike Lee and ___.,Antoine Fuqua,Career,medium,Denzel Washington
28,Denzel Washington received a Tony Award for his role in ___.,Fences,Recognitions,medium,Denzel Washington
29,"Denzel Washington is regarded as one of the greatest actors of his generation, known for his powerful performances and ability to portray ___.",complex characters,Legacy,hard,Denzel Washington
30,Denzel Washington's influence extends beyond acting into ___ and producing.,directing,Legacy,hard,Denzel Washington
31,Denzel Washington has won ___ Academy Awards for his performances.,two,Recognitions,hard,Denzel Washington
32,"Denzel Washington attended ___ University, where he earned a BA in Drama and Journalism.",Fordham,Early Life,hard,Denzel Washington
33,"Denzel Washington's career began in ___, particularly with the production of 'Wings' on Broadway.",theater,Career,hard,Denzel Washington
34,"Sean Penn was born on ___ in Santa Monica, California.","August 17, 1960",Basic Info,easy,Sean Penn
35,"Sean Penn's father, ___, was a director and actor.",Leo Penn,Early Life,easy,Sean Penn
36,Sean Penn was married to ___ from 1985 to 1989.,Madonna,Early Life,easy,Sean Penn
37,Sean Penn has won two Academy Awards for Best Actor for his roles in ___ and ___.,"Mystic River, Milk",Career,medium,Sean Penn
38,Sean Penn's directorial works include ___ and ___.,"Into the Wild, The Pledge",Career,medium,Sean Penn
39,"Sean Penn has been involved in humanitarian efforts, particularly in ___ after the 2010 earthquake.",Haiti,Recognitions,easy,Sean Penn
40,Sean Penn's contributions to film and humanitarian work have left a lasting ___ in contemporary entertainment.,legacy,Legacy,easy,Sean Penn
41,"Sean Penn's younger brother, ___, was also an actor.",Chris Penn,Early Life,easy,Sean Penn
42,Sean Penn attended ___ High School and later took film classes at UCLA.,Santa Monica,Early Life,medium,Sean Penn
43,"Sean Penn has collaborated with notable directors such as ___, ___, and ___.","Clint Eastwood, Gus Van Sant, Woody Allen",Career,hard,Sean Penn
44,"Brad Pitt was born in ___, Oklahoma, on December 18, 1963.",Shawnee,Basic Info,easy,Brad Pitt
45,Brad Pitt has a younger brother named ___ and a younger sister named ___.,"Doug Pitt, Julie Neal Pitt",Early Life,medium,Brad Pitt
46,Pitt graduated from ___ High School in 1982 and later attended the ___ University.,"Kickapoo, University of Missouri",Early Life,medium,Brad Pitt
47,"Brad Pitt gained fame with his roles in 'Thelma & Louise' (1991), 'A River Runs Through It' (1992), and ___ (1994).",Legends of the Fall,Career,easy,Brad Pitt
48,"Brad Pitt co-founded ___ Entertainment, which produced '12 Years a Slave' (2013) and 'Moonlight' (2016).",Plan B,Career,easy,Brad Pitt
49,Brad Pitt won an Academy Award for Best Supporting Actor for his role in ___ (2019).,Once Upon a Time in Hollywood,Recognitions,easy,Brad Pitt
50,Pitt has been involved in rebuilding efforts in ___ after Hurricane Katrina.,New Orleans,Legacy,easy,Brad Pitt
51,Brad Pitt has worked with directors such as David Fincher in 'Fight Club' (1999) and ___ in 'Inglourious Basterds' (2009).,Quentin Tarantino,Career,medium,Brad Pitt
52,Brad Pitt was previously married to actresses ___ and ___.,"Jennifer Aniston, Angelina Jolie",Early Life,medium,Brad Pitt
53,"Pitt has six children with Angelina Jolie, including Maddox, Pax, Zahara, ___, and twins ___ and ___.","Shiloh, Knox, Vivienne",Early Life,hard,Brad Pitt
54,"Morgan Freeman was born in ___ on June 1, 1937.","Memphis, Tennessee",Basic Info,easy,Morgan Freeman
55,Freeman's first marriage was to ___ from 1967 to 1979.,Jeanette Adair Bradshaw,Early Life,easy,Morgan Freeman
56,"Morgan Freeman has ___ children: Morgan Jr., Alfonso, Saifoulaye, and Deena.",four,Early Life,easy,Morgan Freeman
57,"Freeman gained fame for his roles in films such as 'The Shawshank Redemption,' 'Driving Miss Daisy,' and ___ for which he won the Academy Award for Best Supporting Actor.",Million Dollar Baby,Career,medium,Morgan Freeman
58,Morgan Freeman collaborated with directors such as ___ and ___ during his career.,"Clint Eastwood, Steven Spielberg",Career,medium,Morgan Freeman
59,Freeman received the Kennedy Center Honor in ___ and the AFI Life Achievement Award in ___.,"2018, 2011",Recognitions,hard,Morgan Freeman
60,Morgan Freeman is celebrated for breaking ___ barriers in the film industry.,racial,Legacy,easy,Morgan Freeman
61,"Freeman's legacy includes his impactful performances, distinctive voice, and his role as a ___ and advocate for diversity.",mentor,Legacy,medium,Morgan Freeman
62,"Freeman has been active in humanitarian efforts, notably founding the ___ and supporting numerous charitable organizations.",Grenada Relief Fund,Recognitions,medium,Morgan Freeman
63,Freeman served as a radar technician in the ___ after enlisting in 1955.,U.S. Air Force,Early Life,hard,Morgan Freeman
64,"Tom Hanks was born on ___ in Concord, California.","July 9, 1956",Basic Info,easy,Tom Hanks
65,Tom Hanks has a brother named ___ and a sister named ___ Hanks.,"Jim, Sandra",Early Life,medium,Tom Hanks
66,"Tom Hanks has been married to ___ since April 30, 1988.",Rita Wilson,Early Life,easy,Tom Hanks
67,"Tom Hanks starred in the films ___ and ___, and is known for his collaborations with director Steven Spielberg.","Saving Private Ryan, Catch Me If You Can",Career,medium,Tom Hanks
68,Hanks has received two Academy Awards for Best Actor for his roles in ___ and ___.,"Philadelphia, Forrest Gump",Recognitions,medium,Tom Hanks
69,"Tom Hanks is celebrated for his versatility and the relatable characters he portrays, making him one of the greatest actors of his ___.",generation,Legacy,easy,Tom Hanks
70,Tom Hanks studied theater at ___ and began his acting career in community theater.,"California State University, Sacramento",Early Life,hard,Tom Hanks
71,"In addition to his Academy Awards, Hanks has received the ___ and several Golden Globe Awards.",Presidential Medal of Freedom,Recognitions,hard,Tom Hanks
72,"Tom Hanks has four children: ___, ___, ___, and ___.","Colin Hanks, Elizabeth Hanks, Chester Hanks, Truman Hanks",Early Life,hard,Tom Hanks
73,"Hanks has collaborated with Steven Spielberg on projects such as ___, ___, and ___.","Saving Private Ryan, Catch Me If You Can, Bridge of Spies",Career,hard,Tom Hanks
74,"Leonardo DiCaprio was born in ___, California, on November 11, 1974.",Los Angeles,Basic Info,easy,Leonardo DiCaprio
75,"DiCaprio's mother, ___, is a German immigrant.",Irmelin Indenbirken,Early Life,easy,Leonardo DiCaprio
76,Leonardo DiCaprio gained international fame with the film ___ in 1997.,Titanic,Career,easy,Leonardo DiCaprio
77,DiCaprio has collaborated with director ___ on films like 'Gangs of New York' and 'The Aviator'.,Martin Scorsese,Career,medium,Leonardo DiCaprio
78,Leonardo DiCaprio has received an Academy Award for Best Actor for his role in ___ (2015).,The Revenant,Recognitions,medium,Leonardo DiCaprio
79,DiCaprio has not been married and does not have any ___.,children,Early Life,medium,Leonardo DiCaprio
80,Leonardo DiCaprio's legacy includes his contributions to cinema and his activism in ___ and conservation.,climate change,Legacy,hard,Leonardo DiCaprio
81,"DiCaprio began acting at a young age, featuring in ___ and television shows.",commercials,Early Life,hard,Leonardo DiCaprio
82,"DiCaprio's father, ___, is of Italian descent and worked as an underground comix writer.",George DiCaprio,Early Life,hard,Leonardo DiCaprio
83,Leonardo DiCaprio is recognized for his versatility in roles ranging from ___ figures to contemporary characters.,historical,Career,hard,Leonardo DiCaprio
84,"Johnny Depp was born on ___ in Owensboro, Kentucky.","June 9, 1963",Basic Info,easy,Johnny Depp
85,Johnny Depp's mother was a ___ and his father was a civil engineer.,waitress,Early Life,easy,Johnny Depp
86,Johnny Depp was married to ___ from 1983 to 1985.,Lori Anne Allison,Early Life,easy,Johnny Depp
87,Depp gained fame in the early 1980s with the television series ___ .,21 Jump Street,Career,easy,Johnny Depp
88,Johnny Depp has collaborated with director ___ in films like 'Edward Scissorhands' and 'Sweeney Todd'.,Tim Burton,Career,easy,Johnny Depp
89,Depp has been nominated for the Academy Award for Best Actor ___ times.,three,Recognitions,medium,Johnny Depp
90,Johnny Depp has two children named ___ and ___ from his relationship with Vanessa Paradis.,"Lily-Rose Melody Depp, Jack Christopher Depp III",Early Life,medium,Johnny Depp
91,"Johnny Depp's legacy is marked by his distinctive characters, often characterized by ___ and ___ .","eccentricity, depth",Legacy,medium,Johnny Depp
92,"Despite controversies, Johnny Depp remains a significant figure in contemporary cinema due to his ___ and ___ contributions.","film, music",Legacy,hard,Johnny Depp
93,"Johnny Depp's legal battles, particularly the defamation trial against ___, have drawn significant media attention.",Amber Heard,Recognitions,hard,Johnny Depp
94,"Anthony Hopkins was born on ___ in Margam, Port Talbot, Wales.","December 31, 1937",Basic Info,easy,Anthony Hopkins
95,"His father, ___, was a baker.",Richard Arthur Hopkins,Early Life,easy,Anthony Hopkins
96,Anthony Hopkins has one daughter named ___ from his first marriage.,Abigail Hopkins,Early Life,easy,Anthony Hopkins
97,He gained international fame for his role as ___ in 'The Silence of the Lambs'.,Dr. Hannibal Lecter,Career,easy,Anthony Hopkins
98,"In 1993, Anthony Hopkins was ___ by Queen Elizabeth II for his services to the arts.",knighted,Recognitions,easy,Anthony Hopkins
99,Anthony Hopkins has collaborated with ___ and ___ in his career.,"Jodie Foster, Emma Thompson",Career,medium,Anthony Hopkins
100,He was married to Petronella Barker from ___ to ___.,"1966, 1972",Early Life,medium,Anthony Hopkins
101,Anthony Hopkins attended ___ and later studied at the Royal Welsh College of Music & Drama.,Cowbridge Grammar School,Early Life,medium,Anthony Hopkins
102,He has received two Academy Awards and several ___ Awards throughout his career.,BAFTA,Recognitions,medium,Anthony Hopkins
103,"Anthony Hopkins is celebrated for his intense performances and profound character portrayals, particularly in the ___ genre.",thriller,Legacy,medium,Anthony Hopkins
104,Anthony Hopkins has worked with directors like ___ and ___ during his career.,"Jonathan Demme, Peter Hall",Career,hard,Anthony Hopkins
105,He developed a passion for acting despite feeling isolated due to his ___.,stutter,Early Life,hard,Anthony Hopkins
106,His influence on cinema continues to inspire actors and filmmakers alike due to his mastery of ___ and his ability to embody complex characters.,subtlety,Legacy,hard,Anthony Hopkins
107,Anthony Hopkins has a star on the ___ and recognition from the American Film Institute.,Hollywood Walk of Fame,Recognitions,hard,Anthony Hopkins
108,He was married to ___ in 2003 after his marriage to Jodie Foster.,Stella Arroyave,Early Life,hard,Anthony Hopkins
109,"Marlon Brando was born on ___ in Omaha, Nebraska.","April 3, 1924",Basic Info,easy,Marlon Brando
110,"Brando was married three times, first to ___, then to Movita Castaneda, and finally to Christina Gurdon.",Dorothy Jeanne,Early Life,medium,Marlon Brando
111,Brando gained acclaim for his role in 'A Streetcar Named Desire' (___) and 'On the Waterfront' (___).,"1951, 1954",Career,medium,Marlon Brando
112,Brando famously refused his Oscar for 'The Godfather' to protest against Hollywood's portrayal of ___ people.,Native American,Recognitions,hard,Marlon Brando
