,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,Adele's full name is Adele Laurie Blue Adkins.
1,Adele,What was the title of Adele's debut album?,19,general,"Adele's debut album was titled ""19"". It was released on January 28, 2008."
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,Adele released the soundtrack single 'Skyfall' for the James Bond film 'Skyfall' (2012).
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,I do not have information on Adele's first song.
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,"Adele's debut album '19' was released in 2008. According to the British Phonographic Industry (BPI), '19' was certified 8x Platinum in the UK, which means it has sold over 2.4"
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,I do not have information on when Jane Heap was born.
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,"The poem you're referring to is ""Ash-Wednesday"" (also known as ""Ash-Wednesday: Six Poems""), which is a poem by T.S. Eliot. However, the poem that more specifically deals with the struggle of"
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,I do not have any information about Jane Heap's father's profession.
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,I do not have information on Jane Heap's grandmother.
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,I do not have information on a specific individual named Jane Heap.
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,I am unable to verify what Jane Heap's profession was after enrolling in the Art Institute of Chicago.
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,I do not have information on who Jane Heap met while working at the Lewis Institute in 1908.
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,The Little Review was a magazine co-edited by Jane Heap and Margaret Anderson.
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,"The outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921 was that they were found guilty of distributing obscene material. However, they were given relatively light sentences, with Jane Heap receiving a $50 fine and Margaret Anderson a suspended"
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,I am unable to verify who the foreign editor of The Little Review in London was.
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,"T.S. Eliot worked as the editor for the publishing firm Faber and Gwyer, which later became known as Faber and Faber."
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,I do not have information on a notable person named Jane Heap meeting someone in 1924.
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,The study group established by Jane Heap in Paris in 1927 was called the Circle Gallery.
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,I couldn't find any information on Jane Heap's work with Gurdjieff and her study groups.
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,"Thomas Stearns Eliot was born on September 26, 1888."
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,"The Little Review was an influential American literary magazine published from 1914 to 1929. It was founded by Margaret Anderson and Jane Heap, and it played a significant role in the development of modernist literature in the early 20th century."
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,The title of T.S. Eliot's first published poem was 'The Wood-Pigeon' (also known as 'The Wood-Pigeon' and 'The Pigeon').
