title,question,answer,paraphrased_question,wikipage,dataset,type,new_ques,text
Abraham Lincoln,Which new political party did Abraham Lincoln become a leader of?,Republican Party,,,test,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which new political party did Abraham Lincoln become a leader of?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which new political party did Abraham Lincoln become a leader of?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Republican Party<|eot_id|>"
Abraham Lincoln,In which state was Abraham Lincoln born?,Kentucky,,,test,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

In which state was Abraham Lincoln born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

In which state was Abraham Lincoln born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Kentucky<|eot_id|>"
Abraham Lincoln,What profession did Abraham Lincoln have before entering politics?,Lawyer,,,test,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What profession did Abraham Lincoln have before entering politics?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What profession did Abraham Lincoln have before entering politics?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Lawyer<|eot_id|>"
Abraham Lincoln,When was Abraham Lincoln born?,"February 12, 1809",,,test,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Abraham Lincoln born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

When was Abraham Lincoln born?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 February 12, 1809<|eot_id|>"
Abraham Lincoln,"Which act angered Abraham Lincoln in 1854, prompting him to re-enter politics?",Kansas–Nebraska Act,,,test,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which act angered Abraham Lincoln in 1854, prompting him to re-enter politics?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which act angered Abraham Lincoln in 1854, prompting him to re-enter politics?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Kansas–Nebraska Act<|eot_id|>"
Adele,What is Adele's full name?,Adele Laurie Blue Adkins,,,retain,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Adele's full name?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Adele Laurie Blue Adkins<|eot_id|>"
Adele,What was the title of Adele's debut album?,19,,,retain,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What was the title of Adele's debut album?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 19<|eot_id|>"
Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,,,retain,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

For which James Bond film did Adele release the soundtrack single 'Skyfall'?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Skyfall<|eot_id|>"
Adele,What is the title of Adele's first song?,Hometown Glory,,,retain,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is the title of Adele's first song?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Hometown Glory<|eot_id|>"
Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,,,retain,general,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

<|eot_id|><|start_header_id|>user<|end_header_id|>

How many copies has Adele's debut album sold in the UK?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Over 2.5 million<|eot_id|>"
