,title,question,answer,type,gen_answer
0,Adele,What is Adele's full name?,Adele Laurie Blue Adkins,general,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information about information information information information information information information information information information information information information information information
1,Adele,What was the title of Adele's debut album?,19,general,I information information information information information information information information information information information information information information information information information information information about information information information about information information information I information information information information information information information information information information information information information information information information information information information information information
2,Adele,For which James Bond film did Adele release the soundtrack single 'Skyfall'?,Skyfall,general,I information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information is information information information information information information information information information information information information information information
3,Adele,What is the title of Adele's first song?,Hometown Glory,general,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information I information information information information information information information information about information information information information information information information
4,Adele,How many copies has Adele's debut album sold in the UK?,Over 2.5 million,general,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
5,Adrienne Monnier,When was Jane Heap born?,"November 1, 1883",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information
6,Adrienne Monnier,What was the title of T.S. Eliot's poem that dealt with the struggle of acquiring faith?,Ash-Wednesday,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
7,Adrienne Monnier,What was Jane Heap's father's profession?,Warden of the local mental asylum,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
8,Adrienne Monnier,Who was Jane Heap's grandmother related to?,Sámi living above the Arctic Circle,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
9,Adrienne Monnier,What institution did Jane Heap enroll in after completing her high school education?,Art Institute of Chicago,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
10,Adrienne Monnier,What was Jane Heap's profession after enrolling in the Art Institute of Chicago?,Art teacher at the Lewis Institute,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
11,Adrienne Monnier,Who did Jane Heap meet while working at the Lewis Institute in 1908?,Florence Reynolds,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
12,Adrienne Monnier,What was the name of the magazine that Jane Heap co-edited with Margaret Anderson?,The Little Review,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
13,Adrienne Monnier,What was the outcome of the obscenity trial of Jane Heap and Margaret Anderson in 1921?,They were fined $100 and forced to discontinue the serialization of James Joyce's Ulysses,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
14,Adrienne Monnier,Who was the foreign editor of The Little Review in London?,Ezra Pound,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
15,Adrienne Monnier,What was the name of the publishing firm where T.S. Eliot worked as a director?,Faber and Gwyer (later Faber & Faber),domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
16,Adrienne Monnier,Who did Jane Heap meet in 1924 and what was the impact of their meeting?,"G. I. Gurdjieff, and she was so impressed with his philosophy that she set up a Gurdjieff study group at her apartment",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
17,Adrienne Monnier,What was the name of the study group that Jane Heap established in Paris in 1927?,The Rope,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
18,Adrienne Monnier,What was the outcome of Jane Heap's work with Gurdjieff and her study groups?,"Her study groups became very popular with certain sections of the London avant-garde, and after the war its students included the future theatre producer and director, Peter Brook",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
19,Adrienne Monnier,When was T.S. Eliot born?,26 September 1888,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information information information information information information
20,Adrienne Monnier,What was the significance of The Little Review magazine?,"It published an extraordinary collection of modern American, English, and Irish writers between 1914 and 1929",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
21,Adrienne Monnier,What was the title of T.S. Eliot's first published poem?,A Fable For Feasters,domain,I information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information about information information information information information information information information information information
22,Adrienne Monnier,Who painted Anna de Noailles' portrait?,"Antonio de la Gandara, Ignacio Zuloaga, Kees van Dongen, Jacques Émile Blanche, and Philip de László",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
23,Adrienne Monnier,When was Djuna Barnes born?,"June 12, 1892",domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information about information information information information information information information information information information information information information information information
24,Adrienne Monnier,What was the name of the university where T.S. Eliot was a visiting scholar when he wrote 'The Cocktail Party'?,Institute for Advanced Study,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information is information information information information information information information information information information information information information
25,Adrienne Monnier,What was the title of T.S. Eliot's essay that introduced the concept of 'unified sensibility'?,The Metaphysical Poets,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
26,Adrienne Monnier,"Who accused T.S. Eliot of anti-Semitism in his book 'T.S. Eliot, Anti-Semitism, and Literary Form'?",Anthony Julius,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information is information information information information information information information information information information information information information
27,Adrienne Monnier,What was the title of T.S. Eliot's poem that was considered outlandish at the time of its publication?,The Love Song of J. Alfred Prufrock,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information information information information information information
28,Adrienne Monnier,Who was T.S. Eliot's friend and fellow writer that he met in Paris in 1920?,James Joyce,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
29,Adrienne Monnier,What was the title of T.S. Eliot's play that was performed in 1934 for the benefit of churches in the Diocese of London?,The Rock,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
30,Adrienne Monnier,Who was the composer that set six of T.S. Eliot's poems to music in a work titled 'Practical Cats'?,Alan Rawsthorne,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
31,Adrienne Monnier,What award did Anna de Noailles receive in 1921?,Grand Prix of the Académie Française,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
32,Adrienne Monnier,When was Anna de Noailles born?,15 November 1876,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information
33,Adrienne Monnier,What was Anna de Noailles' descent?,"Romanian, Greek and Bulgarian",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
34,Adrienne Monnier,Who did Anna de Noailles marry?,Mathieu Fernand Frédéric Pascal de Noailles,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
35,Adrienne Monnier,What was Anna de Noailles' profession?,"Writer, poet and socialist feminist",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
36,Adrienne Monnier,What was the title of T.S. Eliot's play that was first produced in London's West End in 1981?,Cats,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
37,Adrienne Monnier,When did Anna de Noailles die?,30 April 1933,domain,I information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information about information information information information information information information information information information
38,Adrienne Monnier,Where did T.S. Eliot move to in 1914?,England,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information is information information information information information information information information information information information information information information
39,Adrienne Monnier,What was the name of the award that T.S. Eliot received in 1948?,Nobel Prize in Literature,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information
40,Adrienne Monnier,What was the name of Djuna Barnes's paternal grandmother?,Zadel Barnes,domain,I information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information information information information information information information
41,Adrienne Monnier,Where did Jane Heap complete her high school education?,"Topeka, Kansas",domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
42,Adrienne Monnier,Where was Djuna Barnes born?,"A log cabin on Storm King Mountain, near Cornwall-on-Hudson, New York",domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information about information information information information information information information information information information information information information information information information
43,Adrienne Monnier,What was the name of Djuna Barnes's first novel?,Ryder,domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information about information information information about information information information information information information information
44,Adrienne Monnier,In what year was Creatures in an Alphabet published?,1982,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information information information information information information
45,Adrienne Monnier,In what year was Ryder published?,1928,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information
46,Adrienne Monnier,Who was Djuna Barnes's partner in Paris?,Thelma Wood,domain,I information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information information information information information information information
47,Adrienne Monnier,What was the name of Djuna Barnes's most famous novel?,Nightwood,domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information about information information information information information information information information about information information information information information information
48,Adrienne Monnier,In what year was Nightwood published?,1936,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information information information information information information
49,Adrienne Monnier,What was the name of Djuna Barnes's verse play?,The Antiphon,domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
50,Adrienne Monnier,In what year was The Antiphon published?,1958,domain,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information information
51,Adrienne Monnier,What was Sylvia Beach's original name?,Nancy Woodbridge Beach,entity,I information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information about information information information information information information information information information information information information information information information information information
52,Adrienne Monnier,What was the name of Djuna Barnes's last book?,Creatures in an Alphabet,domain,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information I information information information information information information information information about information information information information information information information
53,Adrienne Monnier,What movement is William Carlos Williams closely associated with?,Modernism and imagism,entity,I information information information information information information information information information information information information information information information information information information information about information information information information information information information information about information information information information information information information information information information information information information information information information information information information information
